,user,es,is,ps
176,0x010840ebb901f0802017e404f4d2ae857e93eaea,1,0.250000000,59.0
177,0x010d9cac8aa91ce1362de1d89b54d6a9934d4e3f,1,2.000000000,10.0
178,0x010e6c82df0af2f6e5c5019b27f6fa4541261498,1,0E-9,37.0
179,0x010ec8fdccfa08408c45bae507eee0b8ce52306c,1,0.300000000,46.0
180,0x01132178b017130faa839ece506cd17adb5ee95d,2,4.500000000,26.5
181,0x0114347b343c2a1b2f9207d7fe3f6fd606f627c7,2,2.000000000,32.5
182,0x01172ef414603c3810596dbd040d18b2d0a3472c,1,0.090000000,90.0
183,0x0117d5dd3ef52036b53a889b14acb6ef08d77444,6,14.500000000,12.166666666666666
184,0x011a991df27fb53637b7319d3a43e91b5da5b4e8,13,19.650000000,35.6
185,0x011b4e8b3496b0c799b8536999d5f24d7ad43b19,1,0.100000000,115.0
186,0x011bf43b5061a6b3b4423d94acc6b8963c3bb6d1,1,0.500000000,54.0
187,0x011d666c7daadb509e951c8a6a0be9f6f7aed8c2,1,0.150000000,47.0
188,0x011ea68c15f4a8316da45c1e7844311cdd0ba149,5,7.700000000,52.0
189,0x0120701845482355c2345aa31b4b5420aa4905f4,1,0E-9,184.0
190,0x0120d5d85b62e997da04277f65a440857080b9fc,1,1.000000000,26.0
191,0x0122c0c70ec38df1658402d412e27b2553e2cfab,8,5.080000000,48.111111111111114
192,0x0122f353c60727dcb485a6560dd537c4f9fe5a5a,4,1.700000000,62.25
193,0x012345e6fa44eed2df2443c739e65165861e0842,12,26.609000000,20.0
194,0x01236419c1976221b1951edf0586b9df33f19092,1,0.150000000,47.0
195,0x012477178d3987841ba373f750f745c054b59729,1,0.100000000,33.0
196,0x0126a1ff738d53f5f81b5d4cbd23afc939eb0e0f,1,0.200000000,116.0
197,0x01274b6425fd3099a2fe26907525ca3f060fa9c2,11,15.418000000,45.90909090909091
198,0x0127867fd935a2c6835259e4ad82c14377935c6a,1,0.250000000,54.0
199,0x0129493ffd9647b11e4373b16a9dab908250474d,1,0.500000000,34.0
200,0x012b38ccb3ae97a32cd24088bf9426d4ee5442d3,19,34.129000000,35.09090909090909
201,0x012bea805abb5e1406f5432c49bbb8ac986ba5e8,2,0.950000000,57.0
202,0x012dd2d8f141d9c7f369c492eece512950bdd44f,2,1.500000000,28.0
203,0x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e,8,17.700000000,49.0
204,0x013285927a5c912a11dffb3254abec1055655614,1,0.200000000,82.0
205,0x01352e4f10102e8502cc6bfffe630f7abfe34c50,1,0.100000000,33.0
206,0x01353c28539ed1f27c488c4c1b8b81912d5b7fe2,1,0.555000000,102.0
207,0x013a8f157f5278690229aeb65cd69008248c52ae,1,3.000000000,5.0
208,0x013d2c8273253a10a558d4612418f8cf04e97114,1,0.100000000,33.0
209,0x0143b166600888f9a78bf7cd6c521b6cabd101b7,1,6.000000000,1.0
210,0x01489cebefc223468e22a6203274e1fbad1e8660,4,1.750000000,47.166666666666664
211,0x01497493ab2f6a94e1c88552becc779ea81309ac,1,0.250000000,75.0
212,0x014b4ebaa25cf06fe71c7e80be5237c279e331b1,1,0.400000000,76.0
213,0x014f573ebd655c46aa95fd94469d6a53bc040502,1,0.300000000,101.0
214,0x015010fc83f429f08929aab7eacb48b277f60f03,1,0.359000000,43.0
215,0x01510ab0cd3237000016543f548c8aa640c9b95f,1,0.100000000,86.0
216,0x015371963afab00565ee742f89409780785df323,1,0.025000000,103.0
217,0x015e6fbce5119c32db66e7c544365749bb26cf8b,1,0.250000000,66.0
218,0x0162f0b0deaf7147d5603d83c2c149737a6e80df,1,0.250000000,55.0
219,0x0163c8aaff00d2507954d178075096d53f87425c,2,0.750000000,66.0
220,0x0166d933b918039ac4b996f49f822ebec0347489,1,1.000000000,21.0
221,0x01685e4d7eec2ba1dea2e0a8a5dfc2731404014d,1,0.250000000,54.0
222,0x016af31be0c453eb98a2e865df3d014426cda988,1,0.900000000,23.0
223,0x016d0d6d77f2140a3a45b9b9f40ec13e3d02dec3,5,1.472000000,83.6
224,0x017347cb75ac8725608e593ea35d83f9b2b3cfb8,6,3.275000000,58.333333333333336
225,0x0178904ef25cdbe54ec5998d73917bcb5e2c1ec6,1,0.150000000,129.0
226,0x017aa94d2a204d8fc9cf221282a8717d847a1471,1,2.400000000,8.0
227,0x017d64126d4d8a3bb1633fd1a5aa03b9c9b76b1a,1,5.000000000,3.0
228,0x017e85170a8ba12bf4a840adf999da19381610f6,1,0.150000000,47.0
229,0x0181a03fc11b09a7577fb70f6586ca4ff91151fb,1,0.100000000,116.0
230,0x018289a8db273d01f9d93dc3f22b4d9a39dde3d8,1,0.250000000,140.0
231,0x0183218c7c8228c490800bea9ff8747f44a20929,1,0.150000000,101.0
232,0x01834f17f126ed2e56557424942122783a07a449,7,3.144000000,66.11111111111111
233,0x018a0abb764706d81c4f569f5eb24988ef9ea23f,2,3.559000000,27.0
234,0x018c7baab28fbcd9f7044a38f6e9d89a83f921e9,1,0.125000000,133.0
